代码,名称,总市值
2623,亚玛顿,47.71
2626,金达威,96.97
2627,三峡旅游,49.55
2628,成都路桥,44.32
2629,仁智股份,25.21
2630,*ST华西,21.21
2631,德尔未来,68.8
2632,道明光学,66.23
2633,申科股份,29.64
2634,*ST棒杰,23.04
2635,安洁科技,66.29
2637,赞宇科技,59.89
2638,勤上股份,62.76
2639,雪人集团,116.55
2640,跨境通,67.04
2641,公元股份,48.31
2642,荣联科技,58.55
2644,佛慈制药,41.77
2646,天佑德酒,37.88
2647,仁东控股,134.12
2649,博彦科技,57.12
2650,ST加加,92.11
2651,利君股份,56.83
2652,扬子新材,32.36
2654,万润科技,130.51
2655,共达电声,126.61
2656,*ST摩登,22.4
2657,中科金财,72.03
2658,雪迪龙,32.23
2659,凯文教育,31.11
2660,茂硕电源,30.56
2661,克明食品,27.42
2662,峰璟股份,56.4
2663,普邦股份,41.48
2664,信质集团,93.88
2665,ST航高,9.12
2666,德联集团,25.38
2667,*ST威领,62.28
2668,TCL智家,107.33
2669,康达新材,42.96
2671,龙泉股份,26.66
2672,东江环保,37.74
2674,兴业科技,38.59
2675,东诚药业,95.82
2676,顺威股份,52.27
2677,浙江美大,45.83
2678,珠江钢琴,82.95
2679,福建金森,25.65
2680,长生退,4.47
2681,奋达科技,84.27
2682,龙洲股份,34.25
2684,猛狮退,3.33
2685,华东重机,91.18
2686,亿利达,40.98
2687,乔治白,20.05
2688,金河生物,44.62
2689,ST远智,36.5
2690,美亚光电,78.51
2691,*ST冀凯,18.81
2692,远程股份,40.48
2693,*ST双成,43.4
2694,*ST顾地,20.41
2695,煌上煌,66.39
2696,百洋股份,22.19
2697,红旗连锁,57.27
2698,博实股份,122.17
2699,*ST美盛,3.73
2700,万憬能源,15.36
2701,奥瑞金,135.8
2702,海欣食品,27.43
2703,浙江世宝,106.84
2705,新宝股份,113.62
2706,良信股份,112.01
2707,众信旅游,52.76
2708,光洋股份,80.96
2711,欧浦退,3.37
2712,思美传媒,30.61
2713,*ST东易,64.76
2715,登云股份,24.15
2717,*ST岭南,23.03
2718,友邦吊顶,76.24
2719,ST麦趣,12.58
2721,金一文化,80.31
2722,物产金轮,34.55
2723,小崧股份,28.76
2724,海洋王,34.24
2725,跃岭股份,36.7
2726,ST龙大,23.83
2727,一心堂,49.94
2728,特一药业,33.26
2729,好利科技,35.3
2730,电光科技,111.84
2731,ST萃华,9.99
2732,燕塘乳业,24.94
2733,雄韬股份,104.35
2734,利民股份,75.84
2735,王子新材,42.79
2737,葵花药业,79.66
2740,*ST爱迪,1.57
2741,光华科技,95.89
2742,三圣股份,25.15
2743,富煌钢构,22.95
2745,木林森,101.41
2746,仙坛股份,44.43
2748,世龙实业,30.19
2749,国光股份,56.65
2750,龙津退,2.35
2751,易尚退,1.12
2752,昇兴股份,71.99
2753,永东股份,17.17
2757,南兴股份,87.21
2758,浙农股份,46.12
2760,凤形股份,24.89
2761,浙江建投,94.33
2762,*ST金比,19.34
2763,汇洁股份,29.39
2765,蓝黛科技,57.8
2766,索菱股份,41.38
2767,先锋电子,27.24
2768,国恩股份,107.82
2769,普路通,34.5
2770,科迪退,3.64
2771,真视通,26.0
2772,众兴菌业,59.5
2774,快意电梯,36.77
2775,文科股份,22.24
2776,*ST柏龙,2.15
2777,久远银海,64.56
2778,中晟高科,24.75
2779,中坚科技,125.43
2780,三夫户外,22.05
